<Unicode>,<Unicode Name>,<Glyph Name>,<Adobe Character Sets>,<Unicode block>,<Non-Unicode type>,"<Status> # A=Already in, T=To be added, C=Under consideration, D=To be deleted","<Source> # R=Regular, B=Bold, I=Italic, X=Bold Italic, N=New, S=Special",<Fira Glyph>
U+2A37,MULTIPLICATION SIGN IN DOUBLE CIRCLE,uni2A37,,Supplemental Mathematical Operators,,T,,
U+2A38,CIRCLED DIVISION SIGN,uni2A38,,Supplemental Mathematical Operators,,T,,
U+2A39,PLUS SIGN IN TRIANGLE,uni2A39,,Supplemental Mathematical Operators,,T,,
U+2A3A,MINUS SIGN IN TRIANGLE,uni2A3A,,Supplemental Mathematical Operators,,T,,
U+2A3B,MULTIPLICATION SIGN IN TRIANGLE,uni2A3B,,Supplemental Mathematical Operators,,T,,
U+2A3C,INTERIOR PRODUCT,uni2A3C,,Supplemental Mathematical Operators,,T,,
U+2A3D,RIGHTHAND INTERIOR PRODUCT,uni2A3D,,Supplemental Mathematical Operators,,T,,
U+2A3E,Z NOTATION RELATIONAL COMPOSITION,uni2A3E,,Supplemental Mathematical Operators,,T,,
U+2A3F,AMALGAMATION OR COPRODUCT,uni2A3F,,Supplemental Mathematical Operators,,T,,
U+2A40,INTERSECTION WITH DOT,uni2A40,,Supplemental Mathematical Operators,,T,,
U+2A41,UNION WITH MINUS SIGN,uni2A41,,Supplemental Mathematical Operators,,T,,
U+2A42,UNION WITH OVERBAR,uni2A42,,Supplemental Mathematical Operators,,T,,
U+2A43,INTERSECTION WITH OVERBAR,uni2A43,,Supplemental Mathematical Operators,,T,,
U+2A44,INTERSECTION WITH LOGICAL AND,uni2A44,,Supplemental Mathematical Operators,,T,,
U+2A45,UNION WITH LOGICAL OR,uni2A45,,Supplemental Mathematical Operators,,T,,
U+2A46,UNION ABOVE INTERSECTION,uni2A46,,Supplemental Mathematical Operators,,T,,
U+2A47,INTERSECTION ABOVE UNION,uni2A47,,Supplemental Mathematical Operators,,T,,
U+2A48,UNION ABOVE BAR ABOVE INTERSECTION,uni2A48,,Supplemental Mathematical Operators,,T,,
U+2A49,INTERSECTION ABOVE BAR ABOVE UNION,uni2A49,,Supplemental Mathematical Operators,,T,,
U+2A4A,UNION BESIDE AND JOINED WITH UNION,uni2A4A,,Supplemental Mathematical Operators,,T,,
U+2A4B,INTERSECTION BESIDE AND JOINED WITH INTERSECTION,uni2A4B,,Supplemental Mathematical Operators,,T,,
U+2A4C,CLOSED UNION WITH SERIFS,uni2A4C,,Supplemental Mathematical Operators,,T,,
U+2A4D,CLOSED INTERSECTION WITH SERIFS,uni2A4D,,Supplemental Mathematical Operators,,T,,
U+2A4E,DOUBLE SQUARE INTERSECTION,uni2A4E,,Supplemental Mathematical Operators,,T,,
U+2A4F,DOUBLE SQUARE UNION,uni2A4F,,Supplemental Mathematical Operators,,T,,
U+2A50,CLOSED UNION WITH SERIFS AND SMASH PRODUCT,uni2A50,,Supplemental Mathematical Operators,,T,,
U+2A51,LOGICAL AND WITH DOT ABOVE,uni2A51,,Supplemental Mathematical Operators,,T,,
U+2A52,LOGICAL OR WITH DOT ABOVE,uni2A52,,Supplemental Mathematical Operators,,T,,
U+2A53,DOUBLE LOGICAL AND,uni2A53,,Supplemental Mathematical Operators,,T,,
U+2A54,DOUBLE LOGICAL OR,uni2A54,,Supplemental Mathematical Operators,,T,,
U+2A55,TWO INTERSECTING LOGICAL AND,uni2A55,,Supplemental Mathematical Operators,,T,,
U+2A56,TWO INTERSECTING LOGICAL OR,uni2A56,,Supplemental Mathematical Operators,,T,,
U+2A57,SLOPING LARGE OR,uni2A57,,Supplemental Mathematical Operators,,T,,
U+2A58,SLOPING LARGE AND,uni2A58,,Supplemental Mathematical Operators,,T,,
U+2A59,LOGICAL OR OVERLAPPING LOGICAL AND,uni2A59,,Supplemental Mathematical Operators,,T,,
U+2A5A,LOGICAL AND WITH MIDDLE STEM,uni2A5A,,Supplemental Mathematical Operators,,T,,
U+2A5B,LOGICAL OR WITH MIDDLE STEM,uni2A5B,,Supplemental Mathematical Operators,,T,,
U+2A5C,LOGICAL AND WITH HORIZONTAL DASH,uni2A5C,,Supplemental Mathematical Operators,,T,,
U+2A5D,LOGICAL OR WITH HORIZONTAL DASH,uni2A5D,,Supplemental Mathematical Operators,,T,,
U+2A5E,LOGICAL AND WITH DOUBLE OVERBAR,uni2A5E,,Supplemental Mathematical Operators,,T,,
U+2A5F,LOGICAL AND WITH UNDERBAR,uni2A5F,,Supplemental Mathematical Operators,,T,,
U+2A60,LOGICAL AND WITH DOUBLE UNDERBAR,uni2A60,,Supplemental Mathematical Operators,,T,,
U+2A61,SMALL VEE WITH UNDERBAR,uni2A61,,Supplemental Mathematical Operators,,T,,
U+2A62,LOGICAL OR WITH DOUBLE OVERBAR,uni2A62,,Supplemental Mathematical Operators,,T,,
U+2A63,LOGICAL OR WITH DOUBLE UNDERBAR,uni2A63,,Supplemental Mathematical Operators,,T,,
U+2A64,Z NOTATION DOMAIN ANTIRESTRICTION,uni2A64,,Supplemental Mathematical Operators,,T,,
U+2A65,Z NOTATION RANGE ANTIRESTRICTION,uni2A65,,Supplemental Mathematical Operators,,T,,
U+2A66,EQUALS SIGN WITH DOT BELOW,uni2A66,,Supplemental Mathematical Operators,,T,,
U+2A67,IDENTICAL WITH DOT ABOVE,uni2A67,,Supplemental Mathematical Operators,,T,,
U+2A68,TRIPLE HORIZONTAL BAR WITH DOUBLE VERTICAL STROKE,uni2A68,,Supplemental Mathematical Operators,,T,,
U+2A69,TRIPLE HORIZONTAL BAR WITH TRIPLE VERTICAL STROKE,uni2A69,,Supplemental Mathematical Operators,,T,,
U+2A6A,TILDE OPERATOR WITH DOT ABOVE,uni2A6A,,Supplemental Mathematical Operators,,T,,
U+2A6B,TILDE OPERATOR WITH RISING DOTS,uni2A6B,,Supplemental Mathematical Operators,,T,,
U+2A6C,SIMILAR MINUS SIMILAR,uni2A6C,,Supplemental Mathematical Operators,,T,,
U+2A6D,CONGRUENT WITH DOT ABOVE,uni2A6D,,Supplemental Mathematical Operators,,T,,
U+2A6E,EQUALS WITH ASTERISK,uni2A6E,,Supplemental Mathematical Operators,,T,,
U+2A6F,ALMOST EQUAL TO WITH CIRCUMFLEX ACCENT,uni2A6F,,Supplemental Mathematical Operators,,T,,
U+2A70,APPROXIMATELY EQUAL OR EQUAL TO,uni2A70,,Supplemental Mathematical Operators,,T,,
U+2A71,EQUALS SIGN ABOVE PLUS SIGN,uni2A71,,Supplemental Mathematical Operators,,T,,
U+2A72,PLUS SIGN ABOVE EQUALS SIGN,uni2A72,,Supplemental Mathematical Operators,,T,,
U+2A73,EQUALS SIGN ABOVE TILDE OPERATOR,uni2A73,,Supplemental Mathematical Operators,,T,,
U+2A74,DOUBLE COLON EQUAL,uni2A74,,Supplemental Mathematical Operators,,T,,
U+2A75,TWO CONSECUTIVE EQUALS SIGNS,uni2A75,,Supplemental Mathematical Operators,,T,,
U+2A76,THREE CONSECUTIVE EQUALS SIGNS,uni2A76,,Supplemental Mathematical Operators,,T,,
U+2A77,EQUALS SIGN WITH TWO DOTS ABOVE AND TWO DOTS BELOW,uni2A77,,Supplemental Mathematical Operators,,T,,
U+2A78,EQUIVALENT WITH FOUR DOTS ABOVE,uni2A78,,Supplemental Mathematical Operators,,T,,
U+2A79,LESS-THAN WITH CIRCLE INSIDE,uni2A79,,Supplemental Mathematical Operators,,T,,
U+2A7A,GREATER-THAN WITH CIRCLE INSIDE,uni2A7A,,Supplemental Mathematical Operators,,T,,
U+2A7B,LESS-THAN WITH QUESTION MARK ABOVE,uni2A7B,,Supplemental Mathematical Operators,,T,,
U+2A7C,GREATER-THAN WITH QUESTION MARK ABOVE,uni2A7C,,Supplemental Mathematical Operators,,T,,
U+2A7D,LESS-THAN OR SLANTED EQUAL TO,uni2A7D,,Supplemental Mathematical Operators,,A,,
U+2A7E,GREATER-THAN OR SLANTED EQUAL TO,uni2A7E,,Supplemental Mathematical Operators,,A,,
U+2A7F,LESS-THAN OR SLANTED EQUAL TO WITH DOT INSIDE,uni2A7F,,Supplemental Mathematical Operators,,T,,
U+2A80,GREATER-THAN OR SLANTED EQUAL TO WITH DOT INSIDE,uni2A80,,Supplemental Mathematical Operators,,T,,
U+2A81,LESS-THAN OR SLANTED EQUAL TO WITH DOT ABOVE,uni2A81,,Supplemental Mathematical Operators,,T,,
U+2A82,GREATER-THAN OR SLANTED EQUAL TO WITH DOT ABOVE,uni2A82,,Supplemental Mathematical Operators,,T,,
U+2A83,LESS-THAN OR SLANTED EQUAL TO WITH DOT ABOVE RIGHT,uni2A83,,Supplemental Mathematical Operators,,T,,
U+2A84,GREATER-THAN OR SLANTED EQUAL TO WITH DOT ABOVE LEFT,uni2A84,,Supplemental Mathematical Operators,,T,,
U+2A85,LESS-THAN OR APPROXIMATE,uni2A85,,Supplemental Mathematical Operators,,T,,
U+2A86,GREATER-THAN OR APPROXIMATE,uni2A86,,Supplemental Mathematical Operators,,T,,
U+2A87,LESS-THAN AND SINGLE-LINE NOT EQUAL TO,uni2A87,,Supplemental Mathematical Operators,,T,,
U+2A88,GREATER-THAN AND SINGLE-LINE NOT EQUAL TO,uni2A88,,Supplemental Mathematical Operators,,T,,
U+2A89,LESS-THAN AND NOT APPROXIMATE,uni2A89,,Supplemental Mathematical Operators,,T,,
U+2A8A,GREATER-THAN AND NOT APPROXIMATE,uni2A8A,,Supplemental Mathematical Operators,,T,,
U+2A8B,LESS-THAN ABOVE DOUBLE-LINE EQUAL ABOVE GREATER-THAN,uni2A8B,,Supplemental Mathematical Operators,,T,,
U+2A8C,GREATER-THAN ABOVE DOUBLE-LINE EQUAL ABOVE LESS-THAN,uni2A8C,,Supplemental Mathematical Operators,,T,,
U+2A8D,LESS-THAN ABOVE SIMILAR OR EQUAL,uni2A8D,,Supplemental Mathematical Operators,,T,,
U+2A8E,GREATER-THAN ABOVE SIMILAR OR EQUAL,uni2A8E,,Supplemental Mathematical Operators,,T,,
U+2A8F,LESS-THAN ABOVE SIMILAR ABOVE GREATER-THAN,uni2A8F,,Supplemental Mathematical Operators,,T,,
U+2A90,GREATER-THAN ABOVE SIMILAR ABOVE LESS-THAN,uni2A90,,Supplemental Mathematical Operators,,T,,
U+2A91,LESS-THAN ABOVE GREATER-THAN ABOVE DOUBLE-LINE EQUAL,uni2A91,,Supplemental Mathematical Operators,,T,,
U+2A92,GREATER-THAN ABOVE LESS-THAN ABOVE DOUBLE-LINE EQUAL,uni2A92,,Supplemental Mathematical Operators,,T,,
U+2A93,LESS-THAN ABOVE SLANTED EQUAL ABOVE GREATER-THAN ABOVE SLANTED EQUAL,uni2A93,,Supplemental Mathematical Operators,,T,,
U+2A94,GREATER-THAN ABOVE SLANTED EQUAL ABOVE LESS-THAN ABOVE SLANTED EQUAL,uni2A94,,Supplemental Mathematical Operators,,T,,
U+2A95,SLANTED EQUAL TO OR LESS-THAN,uni2A95,,Supplemental Mathematical Operators,,T,,
U+2A96,SLANTED EQUAL TO OR GREATER-THAN,uni2A96,,Supplemental Mathematical Operators,,T,,
U+2A97,SLANTED EQUAL TO OR LESS-THAN WITH DOT INSIDE,uni2A97,,Supplemental Mathematical Operators,,T,,
U+2A98,SLANTED EQUAL TO OR GREATER-THAN WITH DOT INSIDE,uni2A98,,Supplemental Mathematical Operators,,T,,
U+2A99,DOUBLE-LINE EQUAL TO OR LESS-THAN,uni2A99,,Supplemental Mathematical Operators,,T,,
U+2A9A,DOUBLE-LINE EQUAL TO OR GREATER-THAN,uni2A9A,,Supplemental Mathematical Operators,,T,,
U+2A9B,DOUBLE-LINE SLANTED EQUAL TO OR LESS-THAN,uni2A9B,,Supplemental Mathematical Operators,,T,,
U+2A9C,DOUBLE-LINE SLANTED EQUAL TO OR GREATER-THAN,uni2A9C,,Supplemental Mathematical Operators,,T,,
U+2A9D,SIMILAR OR LESS-THAN,uni2A9D,,Supplemental Mathematical Operators,,T,,
U+2A9E,SIMILAR OR GREATER-THAN,uni2A9E,,Supplemental Mathematical Operators,,T,,
U+2A9F,SIMILAR ABOVE LESS-THAN ABOVE EQUALS SIGN,uni2A9F,,Supplemental Mathematical Operators,,T,,
U+2AA0,SIMILAR ABOVE GREATER-THAN ABOVE EQUALS SIGN,uni2AA0,,Supplemental Mathematical Operators,,T,,
U+2AA1,DOUBLE NESTED LESS-THAN,uni2AA1,,Supplemental Mathematical Operators,,T,,
U+2AA2,DOUBLE NESTED GREATER-THAN,uni2AA2,,Supplemental Mathematical Operators,,T,,
U+2AA3,DOUBLE NESTED LESS-THAN WITH UNDERBAR,uni2AA3,,Supplemental Mathematical Operators,,T,,
U+2AA4,GREATER-THAN OVERLAPPING LESS-THAN,uni2AA4,,Supplemental Mathematical Operators,,T,,
U+2AA5,GREATER-THAN BESIDE LESS-THAN,uni2AA5,,Supplemental Mathematical Operators,,T,,
U+2AA6,LESS-THAN CLOSED BY CURVE,uni2AA6,,Supplemental Mathematical Operators,,T,,
U+2AA7,GREATER-THAN CLOSED BY CURVE,uni2AA7,,Supplemental Mathematical Operators,,T,,
U+2AA8,LESS-THAN CLOSED BY CURVE ABOVE SLANTED EQUAL,uni2AA8,,Supplemental Mathematical Operators,,T,,
U+2AA9,GREATER-THAN CLOSED BY CURVE ABOVE SLANTED EQUAL,uni2AA9,,Supplemental Mathematical Operators,,T,,
U+2AAA,SMALLER THAN,uni2AAA,,Supplemental Mathematical Operators,,T,,
U+2AAB,LARGER THAN,uni2AAB,,Supplemental Mathematical Operators,,T,,
U+2AAC,SMALLER THAN OR EQUAL TO,uni2AAC,,Supplemental Mathematical Operators,,T,,
U+2AAD,LARGER THAN OR EQUAL TO,uni2AAD,,Supplemental Mathematical Operators,,T,,
U+2AAE,EQUALS SIGN WITH BUMPY ABOVE,uni2AAE,,Supplemental Mathematical Operators,,T,,
U+2AAF,PRECEDES ABOVE SINGLE-LINE EQUALS SIGN,uni2AAF,,Supplemental Mathematical Operators,,T,,
U+2AB0,SUCCEEDS ABOVE SINGLE-LINE EQUALS SIGN,uni2AB0,,Supplemental Mathematical Operators,,T,,
U+2AB1,PRECEDES ABOVE SINGLE-LINE NOT EQUAL TO,uni2AB1,,Supplemental Mathematical Operators,,T,,
U+2AB2,SUCCEEDS ABOVE SINGLE-LINE NOT EQUAL TO,uni2AB2,,Supplemental Mathematical Operators,,T,,
U+2AB3,PRECEDES ABOVE EQUALS SIGN,uni2AB3,,Supplemental Mathematical Operators,,T,,
U+2AB4,SUCCEEDS ABOVE EQUALS SIGN,uni2AB4,,Supplemental Mathematical Operators,,T,,
U+2AB5,PRECEDES ABOVE NOT EQUAL TO,uni2AB5,,Supplemental Mathematical Operators,,T,,
U+2AB6,SUCCEEDS ABOVE NOT EQUAL TO,uni2AB6,,Supplemental Mathematical Operators,,T,,
U+2AB7,PRECEDES ABOVE ALMOST EQUAL TO,uni2AB7,,Supplemental Mathematical Operators,,T,,
U+2AB8,SUCCEEDS ABOVE ALMOST EQUAL TO,uni2AB8,,Supplemental Mathematical Operators,,T,,
U+2AB9,PRECEDES ABOVE NOT ALMOST EQUAL TO,uni2AB9,,Supplemental Mathematical Operators,,T,,
U+2ABA,SUCCEEDS ABOVE NOT ALMOST EQUAL TO,uni2ABA,,Supplemental Mathematical Operators,,T,,
U+2ABB,DOUBLE PRECEDES,uni2ABB,,Supplemental Mathematical Operators,,T,,
U+2ABC,DOUBLE SUCCEEDS,uni2ABC,,Supplemental Mathematical Operators,,T,,
U+2ABD,SUBSET WITH DOT,uni2ABD,,Supplemental Mathematical Operators,,T,,
U+2ABE,SUPERSET WITH DOT,uni2ABE,,Supplemental Mathematical Operators,,T,,
U+2ABF,SUBSET WITH PLUS SIGN BELOW,uni2ABF,,Supplemental Mathematical Operators,,T,,
U+2AC0,SUPERSET WITH PLUS SIGN BELOW,uni2AC0,,Supplemental Mathematical Operators,,T,,
U+2AC1,SUBSET WITH MULTIPLICATION SIGN BELOW,uni2AC1,,Supplemental Mathematical Operators,,T,,
U+2AC2,SUPERSET WITH MULTIPLICATION SIGN BELOW,uni2AC2,,Supplemental Mathematical Operators,,T,,
U+2AC3,SUBSET OF OR EQUAL TO WITH DOT ABOVE,uni2AC3,,Supplemental Mathematical Operators,,T,,
U+2AC4,SUPERSET OF OR EQUAL TO WITH DOT ABOVE,uni2AC4,,Supplemental Mathematical Operators,,T,,
U+2AC5,SUBSET OF ABOVE EQUALS SIGN,uni2AC5,,Supplemental Mathematical Operators,,T,,
U+2AC6,SUPERSET OF ABOVE EQUALS SIGN,uni2AC6,,Supplemental Mathematical Operators,,T,,
U+2AC7,SUBSET OF ABOVE TILDE OPERATOR,uni2AC7,,Supplemental Mathematical Operators,,T,,
U+2AC8,SUPERSET OF ABOVE TILDE OPERATOR,uni2AC8,,Supplemental Mathematical Operators,,T,,
U+2AC9,SUBSET OF ABOVE ALMOST EQUAL TO,uni2AC9,,Supplemental Mathematical Operators,,T,,
U+2ACA,SUPERSET OF ABOVE ALMOST EQUAL TO,uni2ACA,,Supplemental Mathematical Operators,,T,,
U+2ACB,SUBSET OF ABOVE NOT EQUAL TO,uni2ACB,,Supplemental Mathematical Operators,,T,,
U+2ACC,SUPERSET OF ABOVE NOT EQUAL TO,uni2ACC,,Supplemental Mathematical Operators,,T,,
U+2ACD,SQUARE LEFT OPEN BOX OPERATOR,uni2ACD,,Supplemental Mathematical Operators,,T,,
U+2ACE,SQUARE RIGHT OPEN BOX OPERATOR,uni2ACE,,Supplemental Mathematical Operators,,T,,
U+2ACF,CLOSED SUBSET,uni2ACF,,Supplemental Mathematical Operators,,T,,
U+2AD0,CLOSED SUPERSET,uni2AD0,,Supplemental Mathematical Operators,,T,,
U+2AD1,CLOSED SUBSET OR EQUAL TO,uni2AD1,,Supplemental Mathematical Operators,,T,,
U+2AD2,CLOSED SUPERSET OR EQUAL TO,uni2AD2,,Supplemental Mathematical Operators,,T,,
U+2AD3,SUBSET ABOVE SUPERSET,uni2AD3,,Supplemental Mathematical Operators,,T,,
U+2AD4,SUPERSET ABOVE SUBSET,uni2AD4,,Supplemental Mathematical Operators,,T,,
U+2AD5,SUBSET ABOVE SUBSET,uni2AD5,,Supplemental Mathematical Operators,,T,,
U+2AD6,SUPERSET ABOVE SUPERSET,uni2AD6,,Supplemental Mathematical Operators,,T,,
U+2AD7,SUPERSET BESIDE SUBSET,uni2AD7,,Supplemental Mathematical Operators,,T,,
U+2AD8,SUPERSET BESIDE AND JOINED BY DASH WITH SUBSET,uni2AD8,,Supplemental Mathematical Operators,,T,,
U+2AD9,ELEMENT OF OPENING DOWNWARDS,uni2AD9,,Supplemental Mathematical Operators,,T,,
U+2ADA,PITCHFORK WITH TEE TOP,uni2ADA,,Supplemental Mathematical Operators,,T,,
U+2ADB,TRANSVERSAL INTERSECTION,uni2ADB,,Supplemental Mathematical Operators,,T,,
U+2ADC,FORKING,uni2ADC,,Supplemental Mathematical Operators,,T,,
U+2ADD,NONFORKING,uni2ADD,,Supplemental Mathematical Operators,,T,,
U+2ADE,SHORT LEFT TACK,uni2ADE,,Supplemental Mathematical Operators,,T,,
U+2ADF,SHORT DOWN TACK,uni2ADF,,Supplemental Mathematical Operators,,T,,
U+2AE0,SHORT UP TACK,uni2AE0,,Supplemental Mathematical Operators,,T,,
U+2AE1,PERPENDICULAR WITH S,uni2AE1,,Supplemental Mathematical Operators,,T,,
U+2AE2,VERTICAL BAR TRIPLE RIGHT TURNSTILE,uni2AE2,,Supplemental Mathematical Operators,,T,,
U+2AE3,DOUBLE VERTICAL BAR LEFT TURNSTILE,uni2AE3,,Supplemental Mathematical Operators,,T,,
U+2AE4,VERTICAL BAR DOUBLE LEFT TURNSTILE,uni2AE4,,Supplemental Mathematical Operators,,T,,
U+2AE5,DOUBLE VERTICAL BAR DOUBLE LEFT TURNSTILE,uni2AE5,,Supplemental Mathematical Operators,,T,,
U+2AE6,LONG DASH FROM LEFT MEMBER OF DOUBLE VERTICAL,uni2AE6,,Supplemental Mathematical Operators,,T,,
U+2AE7,SHORT DOWN TACK WITH OVERBAR,uni2AE7,,Supplemental Mathematical Operators,,T,,
U+2AE8,SHORT UP TACK WITH UNDERBAR,uni2AE8,,Supplemental Mathematical Operators,,T,,
U+2AE9,SHORT UP TACK ABOVE SHORT DOWN TACK,uni2AE9,,Supplemental Mathematical Operators,,T,,
U+2AEA,DOUBLE DOWN TACK,uni2AEA,,Supplemental Mathematical Operators,,T,,
U+2AEB,DOUBLE UP TACK,uni2AEB,,Supplemental Mathematical Operators,,T,,
U+2AEC,DOUBLE STROKE NOT SIGN,uni2AEC,,Supplemental Mathematical Operators,,T,,
U+2AED,REVERSED DOUBLE STROKE NOT SIGN,uni2AED,,Supplemental Mathematical Operators,,T,,
U+2AEE,DOES NOT DIVIDE WITH REVERSED NEGATION SLASH,uni2AEE,,Supplemental Mathematical Operators,,T,,
U+2AEF,VERTICAL LINE WITH CIRCLE ABOVE,uni2AEF,,Supplemental Mathematical Operators,,T,,
U+2AF0,VERTICAL LINE WITH CIRCLE BELOW,uni2AF0,,Supplemental Mathematical Operators,,T,,
U+2AF1,DOWN TACK WITH CIRCLE BELOW,uni2AF1,,Supplemental Mathematical Operators,,T,,
U+2AF2,PARALLEL WITH HORIZONTAL STROKE,uni2AF2,,Supplemental Mathematical Operators,,T,,
U+2AF3,PARALLEL WITH TILDE OPERATOR,uni2AF3,,Supplemental Mathematical Operators,,T,,
U+2AF4,TRIPLE VERTICAL BAR BINARY RELATION,uni2AF4,,Supplemental Mathematical Operators,,T,,
U+2AF5,TRIPLE VERTICAL BAR WITH HORIZONTAL STROKE,uni2AF5,,Supplemental Mathematical Operators,,T,,
U+2AF6,TRIPLE COLON OPERATOR,uni2AF6,,Supplemental Mathematical Operators,,T,,
U+2AF7,TRIPLE NESTED LESS-THAN,uni2AF7,,Supplemental Mathematical Operators,,T,,
U+2AF8,TRIPLE NESTED GREATER-THAN,uni2AF8,,Supplemental Mathematical Operators,,T,,
U+2AF9,DOUBLE-LINE SLANTED LESS-THAN OR EQUAL TO,uni2AF9,,Supplemental Mathematical Operators,,T,,
U+2AFA,DOUBLE-LINE SLANTED GREATER-THAN OR EQUAL TO,uni2AFA,,Supplemental Mathematical Operators,,T,,
U+2AFB,TRIPLE SOLIDUS BINARY RELATION,uni2AFB,,Supplemental Mathematical Operators,,T,,
U+2AFC,LARGE TRIPLE VERTICAL BAR OPERATOR,uni2AFC,,Supplemental Mathematical Operators,,T,,
U+2AFD,DOUBLE SOLIDUS OPERATOR,uni2AFD,,Supplemental Mathematical Operators,,T,,
U+2AFE,WHITE VERTICAL BAR,uni2AFE,,Supplemental Mathematical Operators,,T,,
U+2AFF,N-ARY WHITE VERTICAL BAR,uni2AFF,,Supplemental Mathematical Operators,,T,,
U+2B00,NORTH EAST WHITE ARROW,uni2B00,,Miscellaneous Symbols and Arrows,,T,,
U+2B01,NORTH WEST WHITE ARROW,uni2B01,,Miscellaneous Symbols and Arrows,,T,,
U+2B02,SOUTH EAST WHITE ARROW,uni2B02,,Miscellaneous Symbols and Arrows,,T,,
U+2B03,SOUTH WEST WHITE ARROW,uni2B03,,Miscellaneous Symbols and Arrows,,T,,
U+2B04,LEFT RIGHT WHITE ARROW,uni2B04,,Miscellaneous Symbols and Arrows,,T,,
U+2B05,LEFTWARDS BLACK ARROW,uni2B05,,Miscellaneous Symbols and Arrows,,T,,
U+2B06,UPWARDS BLACK ARROW,uni2B06,,Miscellaneous Symbols and Arrows,,T,,
U+2B07,DOWNWARDS BLACK ARROW,uni2B07,,Miscellaneous Symbols and Arrows,,T,,
U+2B08,NORTH EAST BLACK ARROW,uni2B08,,Miscellaneous Symbols and Arrows,,T,,
U+2B09,NORTH WEST BLACK ARROW,uni2B09,,Miscellaneous Symbols and Arrows,,T,,
U+2B0A,SOUTH EAST BLACK ARROW,uni2B0A,,Miscellaneous Symbols and Arrows,,T,,
U+2B0B,SOUTH WEST BLACK ARROW,uni2B0B,,Miscellaneous Symbols and Arrows,,T,,
U+2B0C,LEFT RIGHT BLACK ARROW,uni2B0C,,Miscellaneous Symbols and Arrows,,T,,
U+2B0D,UP DOWN BLACK ARROW,uni2B0D,,Miscellaneous Symbols and Arrows,,T,,
U+2B0E,RIGHTWARDS ARROW WITH TIP DOWNWARDS,uni2B0E,,Miscellaneous Symbols and Arrows,,T,,
U+2B0F,RIGHTWARDS ARROW WITH TIP UPWARDS,uni2B0F,,Miscellaneous Symbols and Arrows,,T,,
U+2B10,LEFTWARDS ARROW WITH TIP DOWNWARDS,uni2B10,,Miscellaneous Symbols and Arrows,,T,,
U+2B11,LEFTWARDS ARROW WITH TIP UPWARDS,uni2B11,,Miscellaneous Symbols and Arrows,,T,,
U+2B12,SQUARE WITH TOP HALF BLACK,uni2B12,,Miscellaneous Symbols and Arrows,,T,,
U+2B13,SQUARE WITH BOTTOM HALF BLACK,uni2B13,,Miscellaneous Symbols and Arrows,,T,,
U+2B14,SQUARE WITH UPPER RIGHT DIAGONAL HALF BLACK,uni2B14,,Miscellaneous Symbols and Arrows,,T,,
U+2B15,SQUARE WITH LOWER LEFT DIAGONAL HALF BLACK,uni2B15,,Miscellaneous Symbols and Arrows,,T,,
U+2B16,DIAMOND WITH LEFT HALF BLACK,uni2B16,,Miscellaneous Symbols and Arrows,,T,,
U+2B17,DIAMOND WITH RIGHT HALF BLACK,uni2B17,,Miscellaneous Symbols and Arrows,,T,,
U+2B18,DIAMOND WITH TOP HALF BLACK,uni2B18,,Miscellaneous Symbols and Arrows,,T,,
U+2B19,DIAMOND WITH BOTTOM HALF BLACK,uni2B19,,Miscellaneous Symbols and Arrows,,T,,
U+2B1A,DOTTED SQUARE,uni2B1A,,Miscellaneous Symbols and Arrows,,T,,
U+2B1B,BLACK LARGE SQUARE,uni2B1B,,Miscellaneous Symbols and Arrows,,T,,
U+2B1C,WHITE LARGE SQUARE,uni2B1C,,Miscellaneous Symbols and Arrows,,T,,
U+2B1D,BLACK VERY SMALL SQUARE,uni2B1D,,Miscellaneous Symbols and Arrows,,T,,
U+2B1E,WHITE VERY SMALL SQUARE,uni2B1E,,Miscellaneous Symbols and Arrows,,T,,
U+2B1F,BLACK PENTAGON,uni2B1F,,Miscellaneous Symbols and Arrows,,T,,
U+2B20,WHITE PENTAGON,uni2B20,,Miscellaneous Symbols and Arrows,,T,,
U+2B21,WHITE HEXAGON,uni2B21,,Miscellaneous Symbols and Arrows,,T,,
U+2B22,BLACK HEXAGON,uni2B22,,Miscellaneous Symbols and Arrows,,T,,
U+2B23,HORIZONTAL BLACK HEXAGON,uni2B23,,Miscellaneous Symbols and Arrows,,T,,
U+2B24,BLACK LARGE CIRCLE,uni2B24,,Miscellaneous Symbols and Arrows,,T,,
U+2B25,BLACK MEDIUM DIAMOND,uni2B25,,Miscellaneous Symbols and Arrows,,T,,
U+2B26,WHITE MEDIUM DIAMOND,uni2B26,,Miscellaneous Symbols and Arrows,,T,,
U+2B27,BLACK MEDIUM LOZENGE,uni2B27,,Miscellaneous Symbols and Arrows,,T,,
U+2B28,WHITE MEDIUM LOZENGE,uni2B28,,Miscellaneous Symbols and Arrows,,T,,
U+2B29,BLACK SMALL DIAMOND,uni2B29,,Miscellaneous Symbols and Arrows,,T,,
U+2B2A,BLACK SMALL LOZENGE,uni2B2A,,Miscellaneous Symbols and Arrows,,T,,
U+2B2B,WHITE SMALL LOZENGE,uni2B2B,,Miscellaneous Symbols and Arrows,,T,,
U+2B2C,BLACK HORIZONTAL ELLIPSE,uni2B2C,,Miscellaneous Symbols and Arrows,,T,,
U+2B2D,WHITE HORIZONTAL ELLIPSE,uni2B2D,,Miscellaneous Symbols and Arrows,,T,,
